ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000062405961161698,Christmas Tree! | 1.6mi to Downtown | City View |,,,,,,,,,490.0,427.0,750.0,750.0,False,36.17159,-86.79816,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,4.0
1000062405961161698,Christmas Tree! | 1.6mi to Downtown | City View |,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,582.0,271.0,248.0,False,36.17159,-86.79816,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,4.0
1000816423577510417,Rooftop Fire Pit ~ Bach Parties ~ Sleeps 24!,,,,,,,,,694.0,839.0,499.0,261.0,False,36.1791,-86.7583,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",8.0,7.0
1000816423577510417,Rooftop Fire Pit ~ Bach Parties ~ Sleeps 24!,234.0,275.0,261.0,275.0,399.0,399.0,399.0,450.0,450.0,423.0,470.0,688.0,False,36.1791,-86.7583,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",8.0,7.0
1000824278792934142,Hot Tub Hideaway,,,,,,,,,,,,,False,36.15282,-86.63826,True,"['Kitchen', 'Fast wifi – 230 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Private hot tub - available all year', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,1.5
1000824278792934142,Hot Tub Hideaway,,200.0,200.0,200.0,200.0,200.0,150.0,150.0,150.0,140.0,108.0,112.0,False,36.15282,-86.63826,True,"['Kitchen', 'Fast wifi – 230 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Private hot tub - available all year', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,1.5
1001219342236634688,Boho Nashville Retreat,,,,,,,,,,,,115.0,False,,,,,2.0,1.0
1001219342236634688,Boho Nashville Retreat,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,149.0,169.0,155.0,False,,,,,2.0,1.0
1001345102622728580,Rooftop Cocktail Bar & Fire Pit - Perfect For Fall,,,,,,,,,701.0,865.0,499.0,199.0,False,36.1791,-86.7585,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property', 'Smoke alarm']",8.0,7.0
1001345102622728580,Rooftop Cocktail Bar & Fire Pit - Perfect For Fall,199.0,263.0,245.0,243.0,399.0,399.0,399.0,450.0,450.0,497.0,521.0,466.0,False,36.1791,-86.7585,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property', 'Smoke alarm']",8.0,7.0
1001380955936444655,5 Minute Walk to Broadway - Downtown Nashville 2BR,,,,,,,,,,,200.0,200.0,False,36.1549,-86.7754,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours', '55 inch HDTV with Chromecast, Disney+, Netflix', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
1001380955936444655,5 Minute Walk to Broadway - Downtown Nashville 2BR,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,246.0,197.0,165.0,False,36.1549,-86.7754,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours', '55 inch HDTV with Chromecast, Disney+, Netflix', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
10017234,"Nash Town House, comfy & near all!",,149.0,187.0,186.0,137.0,179.0,139.0,125.0,179.0,179.0,179.0,179.0,False,36.10297,-86.74284,False,"['Kitchen', 'Fast wifi – 114 Mbps', 'Dedicated workspace', 'Free parking on premises – 2 spaces', 'HDTV with Chromecast, DVD player', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
10017234,"Nash Town House, comfy & near all!",179.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,107.0,159.0,142.0,False,36.10297,-86.74284,False,"['Kitchen', 'Fast wifi – 114 Mbps', 'Dedicated workspace', 'Free parking on premises – 2 spaces', 'HDTV with Chromecast, DVD player', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
1002195760983737536,Winter in Nashville! Walk to DT. Cozy Firepit!,,,,,,,,,,,328.0,328.0,False,36.15102,-86.77765,True,"['City skyline view', 'Kitchen', 'Fast wifi – 218 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', 'Pets allowed', 'TV', 'Elevator', 'Exterior security cameras on property']",3.0,2.0
1002195760983737536,Winter in Nashville! Walk to DT. Cozy Firepit!,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,331.0,356.0,362.0,False,36.15102,-86.77765,True,"['City skyline view', 'Kitchen', 'Fast wifi – 218 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', 'Pets allowed', 'TV', 'Elevator', 'Exterior security cameras on property']",3.0,2.0
1002438862285508264,The Rustic Rockstar | Walk to Live Music | Balcony,,,,,,,,,499.0,499.0,499.0,499.0,False,,,,,2.0,1.0
1002438862285508264,The Rustic Rockstar | Walk to Live Music | Balcony,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,438.0,147.0,141.0,False,,,,,2.0,1.0
1002470791341908180,Winter Deals - Lux TH + Rooftop + 1mi Downtown,,,,,,,,,,225.0,225.0,225.0,False,36.1727,-86.7976,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Refrigerator', 'Microwave']",4.0,4.0
1002470791341908180,Winter Deals - Lux TH + Rooftop + 1mi Downtown,225.0,225.0,225.0,225.0,450.0,450.0,450.0,450.0,450.0,402.0,351.0,364.0,False,36.1727,-86.7976,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Refrigerator', 'Microwave']",4.0,4.0
1002565271477418054,City Getaway-Walk to Broadway!,,,,,,,,,,,,248.0,False,,,,,1.0,1.0
1002565271477418054,City Getaway-Walk to Broadway!,268.0,245.0,245.0,275.0,275.0,275.0,275.0,275.0,275.0,109.0,194.0,158.0,False,,,,,1.0,1.0
1003073455761185724,Prime Downtown Stay Walk to Broadway & Attractions,,,,,,,,,,135.0,135.0,135.0,False,36.15513,-86.77592,True,"['Kitchen', 'Wifi', 'Shared outdoor pool - available all year', '65 inch HDTV', 'Elevator', 'Washer', 'Free dryer', 'Air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
1003073455761185724,Prime Downtown Stay Walk to Broadway & Attractions,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,144.0,155.0,147.0,False,36.15513,-86.77592,True,"['Kitchen', 'Wifi', 'Shared outdoor pool - available all year', '65 inch HDTV', 'Elevator', 'Washer', 'Free dryer', 'Air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
1003194117560845301,TheSkyline! •Insta •Game Room •15 beds •Hot Tub,,,,,,,,,,,1379.0,1379.0,False,36.15737,-86.81573,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'TV', 'Washer', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,4.0
1003194117560845301,TheSkyline! •Insta •Game Room •15 beds •Hot Tub,1379.0,1379.0,1379.0,1379.0,1379.0,1379.0,1379.0,1379.0,1379.0,254.0,198.0,518.0,False,36.15737,-86.81573,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'TV', 'Washer', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,4.0
1003528186162353504,Walk to Broadway • Fire Pit • Secure Park • 3 bds,,,,,,,,,,,120.0,129.0,False,36.1549,-86.7754,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Shared pool', '50 inch TV', 'Elevator', 'Washer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
1003528186162353504,Walk to Broadway • Fire Pit • Secure Park • 3 bds,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,162.0,140.0,171.0,False,36.1549,-86.7754,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Shared pool', '50 inch TV', 'Elevator', 'Washer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
1003669528141463477,Charming Urban Condo | 2 Miles Fom Broadway,,,,,,,,,,,,,False,,,,,2.0,2.0
1003669528141463477,Charming Urban Condo | 2 Miles Fom Broadway,,170.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,138.0,182.0,121.0,False,,,,,2.0,2.0
1003759154709354078,The Riverstone,,,,,,,,,,,189.0,189.0,False,36.1686,-86.6213,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washing machine', 'Air conditioning', 'Garden', 'Hair dryer', 'Firepit', 'Fridge']",4.0,2.0
1003759154709354078,The Riverstone,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,252.0,350.0,280.0,False,36.1686,-86.6213,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washing machine', 'Air conditioning', 'Garden', 'Hair dryer', 'Firepit', 'Fridge']",4.0,2.0
1003928082956896678,Sleeps 6! - 3 Queen Beds/Walk to Broadway/Gym/Pool,,,,,,,,,,,,260.0,False,,,,,1.0,1.0
1003928082956896678,Sleeps 6! - 3 Queen Beds/Walk to Broadway/Gym/Pool,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,225.0,163.0,781.0,False,,,,,1.0,1.0
1004378433651938685,Lux Party! 21 Beds! Pool Table! Huge bedrooms!,,,,,,,,,,282.0,282.0,282.0,False,36.1288,-86.7528,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'Pool', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning']",4.0,4.5
1004378433651938685,Lux Party! 21 Beds! Pool Table! Huge bedrooms!,282.0,919.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,326.0,269.0,264.0,False,36.1288,-86.7528,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'Pool', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning']",4.0,4.5
1004542180169296470,"Winter in Nash, free parking, close to Opry & DT",,,,,,,,,,,145.0,145.0,False,36.22508,-86.72683,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises – 2 spaces', 'Pets allowed', 'TV', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",2.0,2.0
1004542180169296470,"Winter in Nash, free parking, close to Opry & DT",145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,137.0,323.0,137.0,False,36.22508,-86.72683,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises – 2 spaces', 'Pets allowed', 'TV', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",2.0,2.0
1004990791225215067,Rooftop lounge - 4 bed | Sleeps 10!,,,,,,,,,,,449.0,449.0,False,36.1951,-86.773,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",4.0,3.0
1004990791225215067,Rooftop lounge - 4 bed | Sleeps 10!,449.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,145.0,129.0,179.0,False,36.1951,-86.773,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",4.0,3.0
1005192181798605598,Titan - Odyssey - Heart of Midtown,,,,,,,,,,,199.0,199.0,False,36.14608,-86.81612,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 2 spaces', 'Shared outdoor pool - available all year, open specific hours, lap pool', '55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Hulu, Netflix', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
1005192181798605598,Titan - Odyssey - Heart of Midtown,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,146.0,119.0,131.0,False,36.14608,-86.81612,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 2 spaces', 'Shared outdoor pool - available all year, open specific hours, lap pool', '55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Hulu, Netflix', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
1005195240042513104,Hyve - Mahogany - Walk To Broadway,,,,,,,,,,,,199.0,False,36.1528,-86.77746,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Shared outdoor pool - available seasonally, open specific hours', '55 inch TV with Disney+, Hulu, Netflix', 'Elevator', 'EV charger', 'Free washer – In unit', 'Exterior security cameras on property']",4.0,3.5
1005195240042513104,Hyve - Mahogany - Walk To Broadway,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,251.0,433.0,434.0,False,36.1528,-86.77746,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Shared outdoor pool - available seasonally, open specific hours', '55 inch TV with Disney+, Hulu, Netflix', 'Elevator', 'EV charger', 'Free washer – In unit', 'Exterior security cameras on property']",4.0,3.5
1005212532193608738,Welcome Homestead Ranch master suite,,,,,,,,,,,,195.0,False,35.97879,-87.01636,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning']",1.0,1.0
1005212532193608738,Welcome Homestead Ranch master suite,195.0,195.0,195.0,195.0,195.0,195.0,195.0,158.0,95.0,95.0,335.0,97.0,False,35.97879,-87.01636,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning']",1.0,1.0
1005794250789361110,3 Bedroom Oasis on the River w/ 2 Private Patios,,,,,,,,,,899.0,899.0,899.0,False,36.1716,-86.7797,True,"['River view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Pets allowed', 'TV', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit']",3.0,2.5
1005794250789361110,3 Bedroom Oasis on the River w/ 2 Private Patios,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0,634.0,394.0,370.0,False,36.1716,-86.7797,True,"['River view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Pets allowed', 'TV', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit']",3.0,2.5
1005810109020177963,Riverfront Bliss-Charming Retreat-5 Mins Broadway-,,,,,,,,,145.0,145.0,145.0,145.0,False,36.17382,-86.78113,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises', 'Shared pool', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony']",1.0,1.0
1005810109020177963,Riverfront Bliss-Charming Retreat-5 Mins Broadway-,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,104.0,115.0,131.0,False,36.17382,-86.78113,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises', 'Shared pool', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony']",1.0,1.0
1005986871127552426,"2BR Gulch View condo with city views, pool, & gym",,,,,,,,,,,,317.0,False,36.1482,-86.78071,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Dryer', 'Air conditioning']",2.0,2.0
1005986871127552426,"2BR Gulch View condo with city views, pool, & gym",275.0,256.0,219.0,209.0,219.0,219.0,260.0,260.0,264.0,247.0,520.0,264.0,False,36.1482,-86.78071,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Dryer', 'Air conditioning']",2.0,2.0
1005988335246942073,*Apartment in Nashville* minutes from Broadway!,,,,,,,,,,155.0,155.0,155.0,False,36.15333,-86.77486,True,"['City skyline view', 'Kitchen', 'Wifi', 'Free street parking', 'Shared pool', 'Pets allowed', 'TV', 'Elevator', 'Washer', 'Free dryer – In unit']",1.0,1.0
1005988335246942073,*Apartment in Nashville* minutes from Broadway!,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,127.0,85.0,83.0,False,36.15333,-86.77486,True,"['City skyline view', 'Kitchen', 'Wifi', 'Free street parking', 'Shared pool', 'Pets allowed', 'TV', 'Elevator', 'Washer', 'Free dryer – In unit']",1.0,1.0
1006728211991514735,Lolly Dolly | Best location in Downtown Nashville!,,,,,,,,,,,233.0,233.0,False,36.1549,-86.7754,True,"['Kitchen', 'Wifi', 'Free parking garage on premises – 1 space', 'Shared pool', 'TV', 'Elevator', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Carbon monoxide alarm']",2.0,2.0
1006728211991514735,Lolly Dolly | Best location in Downtown Nashville!,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,227.0,272.0,210.0,False,36.1549,-86.7754,True,"['Kitchen', 'Wifi', 'Free parking garage on premises – 1 space', 'Shared pool', 'TV', 'Elevator', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Carbon monoxide alarm']",2.0,2.0
1006989,Private Carriage House,,91.0,90.0,96.0,94.0,84.0,92.0,92.0,85.0,85.0,85.0,85.0,False,36.17502,-86.73475,True,"['Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer', 'Refrigerator', 'Exterior security cameras on property']",1.0,1.0
1006989,Private Carriage House,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,91.0,143.0,88.0,False,36.17502,-86.73475,True,"['Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer', 'Refrigerator', 'Exterior security cameras on property']",1.0,1.0
1007286676777418812,Prefect Pregame Rooftop Close to Broadway,,,,,,,,,,100.0,100.0,100.0,False,36.195,-86.7229,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washing machine', 'Dryer – In unit', 'Air conditioning', 'Bath', 'Patio or balcony', 'Travel cot – available upon request']",2.0,2.5
1007286676777418812,Prefect Pregame Rooftop Close to Broadway,100.0,100.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,179.0,190.0,833.0,False,36.195,-86.7229,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washing machine', 'Dryer – In unit', 'Air conditioning', 'Bath', 'Patio or balcony', 'Travel cot – available upon request']",2.0,2.5
1007909330370824112,Modern Home 2.6 miles from Downtown Nashville!,,,,,,,,,,240.0,240.0,240.0,False,36.16933,-86.81253,True,"['Kitchen', 'Fast wifi – 213 Mbps', 'Free parking on premises', 'Pets allowed', '55 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",3.0,3.5
1007909330370824112,Modern Home 2.6 miles from Downtown Nashville!,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,224.0,134.0,147.0,False,36.16933,-86.81253,True,"['Kitchen', 'Fast wifi – 213 Mbps', 'Free parking on premises', 'Pets allowed', '55 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",3.0,3.5
1008119499656774007,"Great Downtown apt: Walk to Broadway, great pool!",,,,,,,,,,,,499.0,False,36.1537,-86.7752,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'Shared outdoor pool - available all year, open specific hours, heated', 'TV', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit']",1.0,1.0
1008119499656774007,"Great Downtown apt: Walk to Broadway, great pool!",499.0,499.0,151.0,89.0,145.0,145.0,115.0,115.0,105.0,139.0,112.0,154.0,False,36.1537,-86.7752,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'Shared outdoor pool - available all year, open specific hours, heated', 'TV', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit']",1.0,1.0
1008192515562074324,Downtown Haven - Steps to Broadway!,,,,,,,,,,,,248.0,False,,,,,1.0,1.0
1008192515562074324,Downtown Haven - Steps to Broadway!,269.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,93.0,599.0,False,,,,,1.0,1.0
1008257301640413095,Top Floor Corner Balcony Suite,,,,,,,,,,,,325.0,False,36.15447,-86.77403,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'Shared pool - available all year, heated, lap pool, rooftop, saltwater', 'TV', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
1008257301640413095,Top Floor Corner Balcony Suite,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,271.0,342.0,231.0,False,36.15447,-86.77403,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'Shared pool - available all year, heated, lap pool, rooftop, saltwater', 'TV', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
1008688651557147708,EastNash Townhome W Rooftop Minutes From Broadway,,,,,,,,,,350.0,350.0,350.0,False,36.18068,-86.75813,True,"['City skyline view', 'Kitchen', 'Fast wifi – 421 Mbps', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",3.0,3.5
1008688651557147708,EastNash Townhome W Rooftop Minutes From Broadway,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,220.0,170.0,241.0,False,36.18068,-86.75813,True,"['City skyline view', 'Kitchen', 'Fast wifi – 421 Mbps', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",3.0,3.5
1008876390329822923,Cowboy Condo - Odyssey - Heart of Midtown,,,,,,,,,,,199.0,199.0,False,36.14782,-86.81556,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Shared outdoor pool - available all year, open specific hours, lap pool', '55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
1008876390329822923,Cowboy Condo - Odyssey - Heart of Midtown,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,172.0,169.0,265.0,False,36.14782,-86.81556,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Shared outdoor pool - available all year, open specific hours, lap pool', '55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
1009396209680812003,Groove - Odyssey - Heart of Midtown,,,,,,,,,,,199.0,199.0,False,36.14646,-86.81603,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Shared outdoor pool - available all year, open specific hours, lap pool', '65 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
1009396209680812003,Groove - Odyssey - Heart of Midtown,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,103.0,167.0,207.0,False,36.14646,-86.81603,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Shared outdoor pool - available all year, open specific hours, lap pool', '65 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
1009401215829411503,15 min drive to Opryland 10 min walk to Broadway,,,,,,,,,,,,,False,,,,,1.0,1.0
1009401215829411503,15 min drive to Opryland 10 min walk to Broadway,,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,156.0,159.0,False,,,,,1.0,1.0
1009442092301544318,Cozy Home in East Nashville,,,,,,,,,,,,,False,,,,,2.0,1.0
1009442092301544318,Cozy Home in East Nashville,,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,219.0,277.0,494.0,False,,,,,2.0,1.0
1009550,The Fab GuesT QuarTers Suite,,111.0,110.0,109.0,115.0,113.0,111.0,114.0,110.0,110.0,110.0,110.0,False,36.21239,-86.70439,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable, Apple TV', 'Free washer – In unit', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,1.0
1009550,The Fab GuesT QuarTers Suite,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,216.0,101.0,95.0,False,36.21239,-86.70439,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable, Apple TV', 'Free washer – In unit', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,1.0
1009580926788938489,The Music Star Suite Downtown! 8 min to Broadway!,,,,,,,,,,129.0,129.0,129.0,False,,,,,1.0,1.0
1009580926788938489,The Music Star Suite Downtown! 8 min to Broadway!,129.0,129.0,129.0,99.0,99.0,99.0,85.0,99.0,99.0,90.0,77.0,107.0,False,,,,,1.0,1.0
1009583589043502210,Hold My HALO : Lainey's Penthouse | POOL! Parking!,,,,,,,,,,,385.0,385.0,False,36.15344,-86.77411,True,"['City skyline view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available all year', '55 inch HDTV with Roku, Amazon Prime Video, Apple TV, Disney+, Fire TV, HBO Max, Hulu, Netflix', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit', 'Carbon monoxide alarm']",2.0,2.0
