ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000060827640267710,Explore Denver Heights w/ New 2BR/2BA Stylish Home,,,,,,,,,12.0,28.0,30.0,31.0,56,False,29.40135,-98.47432,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,2.0
1000060827640267710,Explore Denver Heights w/ New 2BR/2BA Stylish Home,28.0,31.0,30.0,29.0,30.0,30.0,23.0,27.0,7.0,13.0,24.0,6.0,63,False,29.40135,-98.47432,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,2.0
1000221551497824363,The Ideal 3BR San Antonio Home,,,,,,,,,,,,,87,False,29.45324,-98.36311,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",3.0,2.5
1000221551497824363,The Ideal 3BR San Antonio Home,,,0.0,0.0,21.0,28.0,4.0,1.0,0.0,2.0,12.0,13.0,85,False,29.45324,-98.36311,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",3.0,2.5
1000570699399907070,Kicks theme family house in downtown SA,,,,,,,,,12.0,8.0,16.0,12.0,69,False,29.424,-98.4579,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Free dryer – In building', 'Air conditioning', 'Private patio or balcony', 'Exterior security cameras on property']",3.0,2.0
1000570699399907070,Kicks theme family house in downtown SA,19.0,24.0,20.0,13.0,18.0,27.0,11.0,17.0,18.0,18.0,16.0,0.0,49,False,29.424,-98.4579,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Free dryer – In building', 'Air conditioning', 'Private patio or balcony', 'Exterior security cameras on property']",3.0,2.0
1000649572031073586,Close to Airport+2 King Beds+Dog Friendly+Sleeps 9,,,,,,,,,12.0,30.0,31.0,30.0,56,False,29.51177,-98.46184,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available seasonally, open 24 hours', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,3.0
1000649572031073586,Close to Airport+2 King Beds+Dog Friendly+Sleeps 9,26.0,23.0,21.0,25.0,21.0,16.0,9.0,17.0,17.0,18.0,14.0,18.0,72,False,29.51177,-98.46184,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available seasonally, open 24 hours', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,3.0
1001072569194010858,Casa Isabella… Cozy and Clean,,,,,,,,,,24.0,22.0,27.0,66,False,29.40221,-98.68665,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,2.0
1001072569194010858,Casa Isabella… Cozy and Clean,19.0,28.0,24.0,26.0,30.0,31.0,29.0,25.0,26.0,20.0,23.0,19.0,69,False,29.40221,-98.68665,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,2.0
1001433824488470005,Modern-spacious entire home in Converse Texas,,,,,,,,,8.0,10.0,15.0,18.0,77,False,29.52872,-98.35035,False,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,2.0
1001433824488470005,Modern-spacious entire home in Converse Texas,21.0,13.0,18.0,5.0,0.0,9.0,20.0,1.0,0.0,29.0,11.0,0.0,67,False,29.52872,-98.35035,False,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,2.0
1001486313516323205,Discover Serenity 4BR plus Guesthouse Dtown Home!,,,,,,,,,12.0,28.0,11.0,27.0,48,False,29.42402,-98.45771,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 4 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",5.0,3.5
1001486313516323205,Discover Serenity 4BR plus Guesthouse Dtown Home!,26.0,31.0,28.0,30.0,30.0,29.0,25.0,21.0,12.0,14.0,22.0,0.0,51,False,29.42402,-98.45771,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 4 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",5.0,3.5
1002160598516763614,Boho Bucknell,,,,,,,,,,5.0,11.0,11.0,61,False,29.5703,-98.5817,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Private patio or balcony']",3.0,2.0
1002160598516763614,Boho Bucknell,7.0,16.0,11.0,9.0,18.0,22.0,15.0,8.0,6.0,8.0,9.0,1.0,52,False,29.5703,-98.5817,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Private patio or balcony']",3.0,2.0
1002176942468633401,Sweet Home｜JW Marriott/TPC Golf,,,,,,,,,31.0,25.0,12.0,15.0,83,False,29.67454,-98.42115,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '55 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
1002176942468633401,Sweet Home｜JW Marriott/TPC Golf,15.0,20.0,25.0,27.0,20.0,20.0,18.0,18.0,18.0,19.0,30.0,5.0,77,False,29.67454,-98.42115,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '55 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
1002781307690784311,Amazing Modern Retro Pool Home,,,,,,,,,,21.0,13.0,23.0,68,False,29.56599,-98.44748,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours', 'Private hot tub - available all year, open 24 hours', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Exterior security cameras on property']",3.0,2.0
1002781307690784311,Amazing Modern Retro Pool Home,25.0,29.0,27.0,25.0,30.0,30.0,19.0,23.0,23.0,15.0,17.0,11.0,49,False,29.56599,-98.44748,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours', 'Private hot tub - available all year, open 24 hours', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Exterior security cameras on property']",3.0,2.0
1003383336032082868,White Rabbit Social Club,,,,,,,,,,3.0,0.0,,46,False,29.4488,-98.4893,False,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Window AC unit', 'AC - split type ductless system', 'Patio or balcony', 'Hair dryer', 'Galanz Apartment Refrigerator refrigerator', 'Microwave']",1.0,1.0
1003383336032082868,White Rabbit Social Club,,,,,,27.0,0.0,0.0,0.0,7.0,0.0,0.0,60,False,29.4488,-98.4893,False,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Window AC unit', 'AC - split type ductless system', 'Patio or balcony', 'Hair dryer', 'Galanz Apartment Refrigerator refrigerator', 'Microwave']",1.0,1.0
1003713029523947556,Cozy Family Friendly Home Near SeaWorld/Fiesta TX,,,,,,,,,,,,11.0,41,False,29.49347,-98.66423,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Exterior security cameras on property']",2.0,2.0
1003713029523947556,Cozy Family Friendly Home Near SeaWorld/Fiesta TX,7.0,19.0,24.0,24.0,30.0,24.0,16.0,9.0,10.0,7.0,8.0,7.0,45,False,29.49347,-98.66423,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Exterior security cameras on property']",2.0,2.0
1003768736312405980,Urban Abode- 2/1 close to Lackland AFB & Hospitals,,,,,,,,,,,0.0,0.0,46,False,29.44481,-98.59496,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,1.0
1003768736312405980,Urban Abode- 2/1 close to Lackland AFB & Hospitals,0.0,25.0,0.0,28.0,0.0,18.0,0.0,0.0,25.0,25.0,14.0,,87,False,29.44481,-98.59496,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,1.0
1003824556968052577,"Home, away from home",,,,,,,,,6.0,13.0,7.0,25.0,63,False,29.41631,-98.50534,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Elevator', 'Washer', 'Free dryer – In unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
1003824556968052577,"Home, away from home",23.0,30.0,28.0,27.0,29.0,26.0,25.0,19.0,29.0,19.0,18.0,0.0,75,False,29.41631,-98.50534,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Elevator', 'Washer', 'Free dryer – In unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
1004150290540792860,Relaxing Family Home near Sea World,,,,,,,,,30.0,21.0,16.0,19.0,78,False,29.4063,-98.68854,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washing machine', 'Free dryer – In unit', 'Air conditioning', 'Bath', 'Garden', 'Carbon monoxide alarm']",3.0,2.5
1004150290540792860,Relaxing Family Home near Sea World,25.0,28.0,25.0,28.0,26.0,30.0,21.0,19.0,16.0,3.0,12.0,2.0,72,False,29.4063,-98.68854,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washing machine', 'Free dryer – In unit', 'Air conditioning', 'Bath', 'Garden', 'Carbon monoxide alarm']",3.0,2.5
1004285901680971930,Retreat & Relax in New 4BR/2BA Home Near Riverwalk,,,,,,,,,,,13.0,27.0,65,False,,,,,4.0,2.0
1004285901680971930,Retreat & Relax in New 4BR/2BA Home Near Riverwalk,27.0,28.0,10.0,30.0,26.0,20.0,24.0,22.0,4.0,10.0,21.0,0.0,68,False,,,,,4.0,2.0
1004539689144197309,Ft. Sam Houston Updated Bungalow,,,,,,,,,,16.0,18.0,30.0,64,False,29.4852,-98.44034,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
1004539689144197309,Ft. Sam Houston Updated Bungalow,29.0,26.0,30.0,25.0,25.0,22.0,23.0,14.0,1.0,30.0,31.0,30.0,52,False,29.4852,-98.44034,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
1004669364422787586,6 beds 3 bath 1 bed downstairs Pool table near JW,,,,,,,,,,18.0,19.0,20.0,72,False,29.67598,-98.42022,True,"['Courtyard view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '75 inch TV with Chromecast, Roku, Hulu, HBO Max, Fire TV, Disney+, Apple TV, Amazon Prime Video, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,3.0
1004669364422787586,6 beds 3 bath 1 bed downstairs Pool table near JW,0.0,29.0,23.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,46,False,29.67598,-98.42022,True,"['Courtyard view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '75 inch TV with Chromecast, Roku, Hulu, HBO Max, Fire TV, Disney+, Apple TV, Amazon Prime Video, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,3.0
1004956093378747375,San Antonio Townhome: 3 Mi to Lackland AFB!,,,,,,,,,,10.0,16.0,18.0,79,False,29.42953,-98.62403,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with DVD player', 'Washing machine', 'Dryer', 'Central air conditioning', 'Bath', 'Exterior security cameras on property']",3.0,1.0
1004956093378747375,San Antonio Townhome: 3 Mi to Lackland AFB!,29.0,29.0,29.0,24.0,30.0,29.0,31.0,25.0,23.0,20.0,28.0,20.0,80,False,29.42953,-98.62403,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with DVD player', 'Washing machine', 'Dryer', 'Central air conditioning', 'Bath', 'Exterior security cameras on property']",3.0,1.0
1004971566037690033,Cozy Townhome in Thousand Oaks!,,,,,,,,,,11.0,26.0,20.0,71,False,29.58294,-98.44896,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bath', 'Exterior security cameras on property']",2.0,2.5
1004971566037690033,Cozy Townhome in Thousand Oaks!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,82,False,29.58294,-98.44896,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bath', 'Exterior security cameras on property']",2.0,2.5
1005067355850533211,Feel at Home 3BR/2.5BA Apt. So Close to Downtown,,,,,,,,,,,5.0,28.0,74,False,29.40728,-98.47102,True,"['Kitchen', 'Wifi', 'Free parking garage on premises – 1 space', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Hair dryer', 'Exterior security cameras on property']",3.0,2.5
1005067355850533211,Feel at Home 3BR/2.5BA Apt. So Close to Downtown,26.0,29.0,3.0,27.0,26.0,20.0,21.0,13.0,4.0,10.0,13.0,0.0,70,False,29.40728,-98.47102,True,"['Kitchen', 'Wifi', 'Free parking garage on premises – 1 space', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Hair dryer', 'Exterior security cameras on property']",3.0,2.5
1005733400644415608,Downtown Accessible New 1BR/1BA Cozy Studio,,,,,,,,,,20.0,13.0,29.0,82,False,29.41405,-98.47309,False,"['Kitchen', 'Wifi', 'Free on-street parking', 'TV', 'Window AC unit', 'Fridge', 'Microwave', 'Long-term stays allowed', 'Exterior security cameras on property']",1.0,1.0
1005733400644415608,Downtown Accessible New 1BR/1BA Cozy Studio,26.0,27.0,30.0,31.0,29.0,27.0,29.0,28.0,9.0,12.0,13.0,0.0,81,False,29.41405,-98.47309,False,"['Kitchen', 'Wifi', 'Free on-street parking', 'TV', 'Window AC unit', 'Fridge', 'Microwave', 'Long-term stays allowed', 'Exterior security cameras on property']",1.0,1.0
1005740396963782771,Step into Comfort in this 3BR/2BA Downtown Retreat,,,,,,,,,,,8.0,27.0,60,False,29.40753,-98.46975,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bath', 'Exterior security cameras on property']",3.0,2.0
1005740396963782771,Step into Comfort in this 3BR/2BA Downtown Retreat,27.0,29.0,3.0,25.0,29.0,14.0,16.0,23.0,5.0,12.0,22.0,0.0,80,False,29.40753,-98.46975,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bath', 'Exterior security cameras on property']",3.0,2.0
1005774221965672371,Accessible Cozy 1BR/1BA in the Heart of Downtown,,,,,,,,,,20.0,13.0,29.0,77,False,29.4126,-98.47163,True,"['Kitchen', 'Wifi', 'Free street parking', 'TV', 'Window AC unit', 'Refrigerator', 'Microwave', 'Long term stays allowed', 'Exterior security cameras on property']",1.0,1.0
1005774221965672371,Accessible Cozy 1BR/1BA in the Heart of Downtown,28.0,24.0,25.0,31.0,26.0,8.0,21.0,25.0,2.0,12.0,14.0,0.0,65,False,29.4126,-98.47163,True,"['Kitchen', 'Wifi', 'Free street parking', 'TV', 'Window AC unit', 'Refrigerator', 'Microwave', 'Long term stays allowed', 'Exterior security cameras on property']",1.0,1.0
1005784078638259195,Enter into Serenity at 3BR/2BA Downtown Hideaway,,,,,,,,,,,8.0,27.0,87,False,29.40845,-98.46916,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
1005784078638259195,Enter into Serenity at 3BR/2BA Downtown Hideaway,24.0,29.0,27.0,26.0,29.0,24.0,31.0,15.0,8.0,12.0,22.0,0.0,48,False,29.40845,-98.46916,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
1005893656724630402,DeepDiscount Gorgeous Family Home w/office Pets ok,,,,,,,,,,,4.0,9.0,80,False,,,,,4.0,2.0
1005893656724630402,DeepDiscount Gorgeous Family Home w/office Pets ok,9.0,29.0,19.0,21.0,0.0,0.0,15.0,1.0,5.0,6.0,4.0,0.0,33,False,,,,,4.0,2.0
1005969074340259774,Couples getaway kink dungeon,,,,,,,,,,13.0,10.0,6.0,68,False,29.52745,-98.62112,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
1005969074340259774,Couples getaway kink dungeon,19.0,22.0,14.0,18.0,25.0,24.0,16.0,21.0,25.0,28.0,19.0,21.0,85,False,29.52745,-98.62112,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
1006000795880338628,"Blue Bungalow at The Pearl, River Walk, Downtown",,,,,,,,,,26.0,23.0,27.0,40,False,29.44164,-98.4691,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '55 inch HDTV with Amazon Prime Video', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
1006000795880338628,"Blue Bungalow at The Pearl, River Walk, Downtown",21.0,28.0,26.0,20.0,20.0,22.0,20.0,16.0,27.0,26.0,16.0,7.0,57,False,29.44164,-98.4691,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '55 inch HDTV with Amazon Prime Video', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
1006013774335186432,Snug1BRApt-Central+KingBed+StepsfromStMarysStrip!,,,,,,,,,,,9.0,21.0,66,False,,,,,1.0,1.0
1006013774335186432,Snug1BRApt-Central+KingBed+StepsfromStMarysStrip!,21.0,28.0,26.0,28.0,29.0,27.0,17.0,9.0,8.0,11.0,16.0,31.0,80,False,,,,,1.0,1.0
1006024773484475194,Warm1BRApt-Central+KingBed+StepsfromStMarysStrip!,,,,,,,,,,,10.0,26.0,57,False,,,,,1.0,1.0
1006024773484475194,Warm1BRApt-Central+KingBed+StepsfromStMarysStrip!,18.0,27.0,26.0,29.0,27.0,18.0,27.0,15.0,8.0,9.0,14.0,31.0,77,False,,,,,1.0,1.0
1006374059445226324,Gorgeous home Seaworld/SixFlags,,,,,,,,,,,18.0,7.0,83,False,29.51215,-98.71169,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', 'Pets allowed', '82 inch HDTV with Amazon Prime Video, Hulu, HBO Max, Netflix, Disney+', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",5.0,3.5
1006374059445226324,Gorgeous home Seaworld/SixFlags,12.0,20.0,18.0,19.0,24.0,23.0,15.0,21.0,20.0,7.0,16.0,7.0,52,False,29.51215,-98.71169,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', 'Pets allowed', '82 inch HDTV with Amazon Prime Video, Hulu, HBO Max, Netflix, Disney+', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",5.0,3.5
1007389164372556840,My casita is your casita in San Antonio,,,,,,,,,,,,,5,False,29.42845,-98.47312,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Private backyard – Fully fenced', 'Refrigerator', 'Microwave', 'Exterior security cameras on property']",1.0,1.0
1007389164372556840,My casita is your casita in San Antonio,11.0,30.0,26.0,29.0,30.0,26.0,29.0,24.0,22.0,22.0,18.0,0.0,79,False,29.42845,-98.47312,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Private backyard – Fully fenced', 'Refrigerator', 'Microwave', 'Exterior security cameras on property']",1.0,1.0
1007472173612243606,Spacious Home 5 Min to Six Flags: Pool & Hot Tub,,,,,,,,,,,8.0,5.0,66,False,29.6209,-98.6148,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year', 'Private hot tub', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,2.5
1007472173612243606,Spacious Home 5 Min to Six Flags: Pool & Hot Tub,6.0,29.0,20.0,26.0,24.0,31.0,28.0,22.0,25.0,15.0,16.0,2.0,79,False,29.6209,-98.6148,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year', 'Private hot tub', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,2.5
1007720137939502658,"The Salvador Dali Experience 
W/ Great  Discounts",,,,,,,,,,,7.0,31.0,57,False,29.46467,-98.36767,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In building', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",3.0,2.0
1007720137939502658,"The Salvador Dali Experience 
W/ Great  Discounts",28.0,31.0,26.0,31.0,30.0,25.0,14.0,15.0,10.0,6.0,0.0,0.0,65,False,29.46467,-98.36767,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In building', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",3.0,2.0
1008568156690116894,4 Bedrm House - Medical Center,,,,,,,,,,,,23.0,70,False,29.51999,-98.59446,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",4.0,2.5
1008568156690116894,4 Bedrm House - Medical Center,26.0,26.0,23.0,23.0,30.0,27.0,17.0,25.0,14.0,7.0,11.0,1.0,79,False,29.51999,-98.59446,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",4.0,2.5
10087041,The Guest House in Castle Hills,,,,28.0,13.0,25.0,3.0,4.0,14.0,3.0,16.0,5.0,70,False,29.52246,-98.52366,False,"['Kitchen', 'Wifi – 48 Mbps', 'Free driveway parking on premises – 2 spaces', '30 inch HDTV with standard cable', 'Central air conditioning', 'Bathtub', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Pack ’n play/Travel crib - available upon request', 'Hair dryer']",3.0,2.0
10087041,The Guest House in Castle Hills,6.0,17.0,9.0,15.0,8.0,4.0,3.0,11.0,13.0,12.0,19.0,2.0,83,False,29.52246,-98.52366,False,"['Kitchen', 'Wifi – 48 Mbps', 'Free driveway parking on premises – 2 spaces', '30 inch HDTV with standard cable', 'Central air conditioning', 'Bathtub', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Pack ’n play/Travel crib - available upon request', 'Hair dryer']",3.0,2.0
1008768224301270803,Studio near to Riverwalk with free parking,,,,,,,,,,,,,69,False,29.40617,-98.50132,True,"['Wifi', 'Free parking on premises', 'Pets allowed', '40 inch TV with HBO Max, Roku, Netflix, Hulu, Disney+', 'Air conditioning', 'Microwave', 'Long term stays allowed']",0.0,1.0
1008768224301270803,Studio near to Riverwalk with free parking,,0.0,30.0,9.0,0.0,20.0,29.0,16.0,0.0,7.0,1.0,0.0,61,False,29.40617,-98.50132,True,"['Wifi', 'Free parking on premises', 'Pets allowed', '40 inch TV with HBO Max, Roku, Netflix, Hulu, Disney+', 'Air conditioning', 'Microwave', 'Long term stays allowed']",0.0,1.0
1009041547599280963,"SA Escape by Lackland, SeaWorld, Fiesta, Riverwalk",,,,,,,,,,18.0,10.0,17.0,64,False,29.48537,-98.64786,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Private hot tub - available all year, open specific hours', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",3.0,2.0
1009041547599280963,"SA Escape by Lackland, SeaWorld, Fiesta, Riverwalk",27.0,30.0,28.0,28.0,28.0,30.0,29.0,27.0,27.0,22.0,28.0,1.0,66,False,29.48537,-98.64786,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Private hot tub - available all year, open specific hours', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",3.0,2.0
1009457810850669196,Haven Med - Center Six Flags SeaWorld San Antonio,,,,,,,,,,,0.0,2.0,80,False,29.54462,-98.62645,True,"['Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",3.0,2.5
1009457810850669196,Haven Med - Center Six Flags SeaWorld San Antonio,12.0,20.0,12.0,21.0,13.0,26.0,18.0,5.0,17.0,12.0,15.0,0.0,69,False,29.54462,-98.62645,True,"['Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",3.0,2.5
