ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
122773,11.0,22.5,24.5,29.0,31.0,30.0,26.0,30.0,25.5,22.5,22.0,26.5,56.5,False,33.47262,-112.06499,True,"['Kitchen', 'Wifi – 49 Mbps', 'Free on-street parking', 'Pets allowed', 'TV with standard cable/satellite', 'Window AC unit', 'Private patio or balcony', 'Private back garden – Fully fenced', 'Luggage drop-off allowed', 'Cot']",1.0,1.0
267547,4.0,21.0,24.5,7.5,3.0,2.5,6.0,2.5,4.0,1.5,2.0,3.0,25.0,False,33.57693,-112.07162,False,"['Mountain view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV with standard cable/satellite', 'Air conditioning', 'Private patio or balcony', 'Garden', 'Hair dryer']",1.0,1.0
1177449,0.0,,,,,,,,,,0.0,0.0,56.5,False,33.49042,-112.05875,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Lift', 'Washing machine', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",1.0,1.0
1593839,13.0,29.0,28.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,False,33.47446,-112.24057,True,"['Courtyard view', 'Kitchen', 'Dedicated workspace', 'Ethernet connection', 'Free multistorey car park on premises – 1 space', 'Shared outdoor pool – available all year, open specific hours, lap pool', '50-inch HDTV with Amazon Prime Video, Apple TV, DVD player', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",3.0,1.0
1960058,31.0,,31.0,29.0,31.0,0.0,0.0,0.0,15.0,15.5,6.0,0.0,53.0,False,33.50849,-111.99967,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'Pets allowed', 'TV with standard cable', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
2094464,7.0,29.0,26.0,10.0,13.0,6.0,3.0,10.0,11.5,13.5,16.0,9.0,40.5,False,33.4501,-112.0558,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '55-inch HDTV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
2447834,3.0,28.0,17.0,7.0,0.0,2.5,0.0,4.0,2.5,2.5,16.5,8.0,40.0,False,33.48674,-112.06472,False,"['Kitchen', 'Fast wifi – 235 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '55 inch HDTV with Amazon Prime Video, Netflix', 'Washer', 'Dryer', 'Central air conditioning', 'Patio or balcony']",2.0,1.0
3810472,16.0,,,22.0,19.5,9.5,2.5,14.5,21.5,21.0,27.0,26.0,29.5,False,33.49269,-112.00306,True,"['Garden view', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'Private outdoor pool - saltwater', 'Private hot tub', 'TV with Netflix, Amazon Prime Video, premium cable', 'Central air conditioning', 'Private patio or balcony', 'Private backyard – Fully fenced']",1.0,1.0
4261748,30.0,,31.0,29.0,12.0,0.0,0.0,0.0,0.0,0.0,9.5,5.5,29.0,False,33.29993,-112.06026,False,"['Resort view', 'Mountain view', 'Kitchen', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",2.0,1.0
4358593,12.0,,,,0.0,0.0,0.0,0.0,0.0,3.0,27.0,30.0,25.5,False,,,,,2.0,1.0
10121500,3.0,29.0,27.0,24.0,27.0,7.5,5.5,3.5,10.5,14.0,17.5,12.5,45.0,False,33.50509,-112.08882,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '50 inch HDTV with Amazon Prime Video, Netflix, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
10631696,9.0,28.0,29.0,25.0,20.5,19.5,18.5,9.5,18.5,24.0,23.0,20.5,59.0,False,33.44887,-112.06186,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'HDTV with Fire TV, standard cable', 'Washer', 'Dryer', 'Exterior security cameras on property']",3.0,2.0
11868322,15.5,29.0,26.0,24.5,19.0,29.0,28.0,30.5,29.5,31.0,29.5,23.5,49.0,False,33.4553,-112.06365,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Hair dryer', 'Refrigerator']",1.0,1.0
12043299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,29.0,False,,,,,,
12450699,0.0,24.0,16.0,10.0,0.0,5.5,0.0,11.5,24.0,15.0,7.0,5.0,57.5,False,,,,,3.0,2.0
12854118,8.5,21.0,25.0,12.0,26.0,10.5,9.0,7.0,11.5,8.5,11.5,9.0,40.5,False,33.44911,-112.0607,True,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'HDTV with standard cable', 'Central air conditioning', 'Bathtub', 'Private patio or balcony', 'High chair', 'Hair dryer', 'Exterior security cameras on property']",2.0,1.0
13490885,12.0,,0.0,0.0,0.0,16.0,1.0,1.0,3.0,1.0,19.0,0.0,62.5,False,33.48773,-112.05394,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with Roku', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Patio or balcony']",2.0,1.5
13943521,12.0,29.0,25.0,20.0,11.0,15.5,17.0,16.0,30.0,30.5,29.5,29.5,42.0,False,33.47987,-112.06685,False,"['City skyline view', 'Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - open specific hours', '56 inch HDTV with Roku', 'Elevator', 'Free washer – In unit']",1.0,1.0
13962197,15.5,29.0,28.0,30.0,31.0,23.5,20.0,28.0,30.0,31.0,29.5,28.0,39.5,False,33.49233,-112.06722,False,"['Kitchen', 'Wifi', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Patio or balcony', 'Backyard', 'Hair dryer']",1.0,1.0
14430819,9.0,23.5,29.0,26.0,27.0,23.5,21.0,27.0,27.0,20.0,21.0,12.0,68.5,False,33.67413,-112.10398,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'HDTV with Netflix', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
15401306,16.0,,,,,,,,,,,,41.5,False,,,,,2.0,1.0
15401307,6.5,0.0,14.5,15.0,15.5,15.0,15.5,15.5,15.0,15.5,17.5,25.0,68.0,False,33.4983,-112.0022,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
15640791,15.5,27.0,30.0,21.0,22.0,20.0,19.5,14.5,20.0,21.0,24.5,23.5,57.0,False,33.50546,-112.22983,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available seasonally, open 24 hours', '65 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
15799226,9.0,27.0,28.0,5.0,11.0,0.0,0.0,0.0,8.0,24.0,27.0,9.0,41.5,False,33.50013,-112.00133,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony']",3.0,2.0
16177841,13.5,28.0,31.0,27.5,31.0,27.5,31.0,30.5,27.0,27.0,29.0,26.0,65.0,False,33.58903,-112.12071,True,"['Lake access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'TV with standard cable, Roku', 'Elevator', 'Washer']",2.0,2.0
16515709,27.0,,27.0,22.0,12.5,18.5,18.0,14.0,14.0,10.0,12.0,13.5,48.5,False,33.51434,-112.1014,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Private patio or balcony', 'Children’s books and toys', 'Hair dryer', 'Exterior security cameras on property']",0.0,1.0
16689936,7.5,29.0,31.0,28.5,19.5,14.5,24.0,2.5,9.5,23.0,22.5,14.5,72.5,False,33.45951,-112.06116,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '15 inch HDTV with Netflix, Amazon Prime Video, Hulu, HBO Max, Apple TV, Roku', 'Central air conditioning', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'Luggage dropoff allowed']",1.0,1.0
16961617,14.5,27.0,23.0,26.0,13.0,0.0,0.0,9.0,11.0,5.5,19.5,18.5,58.5,False,33.49068,-111.99243,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', '48 inch HDTV with Roku', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard']",2.0,1.0
17083706,11.5,27.0,29.0,17.5,14.0,24.0,17.5,28.5,20.0,14.5,21.5,17.5,36.0,False,33.47384,-112.06419,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'TV with standard cable', 'Washer', 'Dryer', 'AC - split type ductless system', 'Patio or balcony', 'Hair dryer']",1.0,1.0
17270170,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,12.0,42.0,False,,,,,2.0,2.0
17389476,30.0,,,,,,,,,,19.0,31.0,40.0,False,,,,,,
17611439,4.5,23.0,28.0,19.0,9.0,0.0,0.0,25.0,8.5,5.0,5.5,7.5,38.0,False,33.51008,-111.98882,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'TV', 'Washing machine', 'Dryer', 'Air conditioning', 'Private patio or balcony']",3.0,2.0
17683808,6.0,29.0,29.5,26.0,23.5,22.5,5.5,16.0,14.0,21.5,16.5,6.0,54.0,False,33.49746,-112.09064,True,"['Courtyard view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open specific hours, heated', 'Shared hot tub - available all year, open specific hours', '50 inch HDTV with Amazon Prime Video, Netflix, Roku', 'Free washer – In unit', 'Exterior security cameras on property']",1.0,1.0
17714609,29.0,,,,,,,,,,19.0,31.0,59.5,False,33.63532,-111.98237,True,"['Garden view', 'Kitchen', 'Wi-Fi', 'Free driveway parking on premises – 2 spaces', 'Private outdoor pool – heated', '60-inch HDTV with Hulu', 'Free washing machine – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",4.0,3.0
17861798,6.0,20.0,29.0,29.5,28.0,23.5,16.0,15.5,13.5,24.0,17.0,21.5,65.5,False,33.76955,-112.11092,True,"['Desert view', 'Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated', 'Private hot tub', '60 inch HDTV with standard cable', 'Exterior security cameras on property']",6.0,3.5
17909330,4.5,26.0,29.0,16.0,15.5,10.0,1.5,15.0,10.5,15.0,20.5,17.5,44.0,False,33.45589,-112.06318,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony']",1.0,1.0
17956947,4.5,27.0,26.5,11.5,5.5,0.0,5.5,0.0,0.0,8.5,9.0,14.5,37.0,False,33.30973,-112.02762,True,"['Courtyard view', 'Desert view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', '60 inch HDTV with Roku', 'Exterior security cameras on property']",4.0,2.5
18249832,26.0,0.0,26.0,28.5,26.0,13.0,17.5,21.5,12.0,20.5,21.0,18.5,35.5,False,33.6257,-111.9749,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool', 'Private hot tub', 'Pets allowed', 'TV', 'Washer', 'Exterior security cameras on property']",4.0,2.5
18250782,2.0,29.0,31.0,30.0,27.0,30.0,31.0,26.0,12.5,21.5,23.5,14.5,45.5,False,33.66378,-112.13293,True,"['Kitchen', 'Fast wifi – 133 Mbps', 'Dedicated workspace', 'Free carport on premises', 'Pets allowed', '55 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
18389650,0.0,,31.0,2.0,16.0,0.0,0.0,12.5,12.5,15.5,5.5,0.0,30.0,False,33.30486,-112.08368,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning']",3.0,2.0
19192341,14.5,10.5,13.0,27.5,28.0,17.0,16.0,25.0,12.5,20.0,18.0,17.5,55.0,False,33.81066,-112.12795,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises', 'Private outdoor pool - heated', 'Shared hot tub', 'TV with DVD player', 'Washer', 'Dryer', 'Exterior security cameras on property']",5.0,3.0
19306746,15.5,29.0,29.0,22.0,30.0,26.0,21.0,31.0,26.5,31.0,24.5,31.0,33.0,False,33.52254,-112.0871,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Carbon monoxide alarm']",0.0,1.0
19575937,7.0,,,,,,,0.0,18.0,9.0,19.0,26.0,45.5,False,33.87208,-112.15676,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Exterior security cameras on property']",2.0,3.5
19997354,9.5,29.0,31.0,15.0,31.0,21.0,15.0,24.0,5.0,23.0,25.0,22.0,48.0,False,33.4867,-112.05059,True,"['Fast wifi – 80 Mbps', 'Dedicated workspace', 'Free carport on premises', 'TV with Netflix, Amazon Prime Video, Hulu, Apple TV', 'Free washer – In building', 'Free dryer – In building', 'Window AC unit', 'Patio or balcony', 'Backyard', 'Exterior security cameras on property']",1.0,1.0
20135578,3.5,29.0,26.0,10.5,22.0,17.5,15.0,20.5,17.0,14.5,14.0,11.0,45.5,False,33.45551,-112.06168,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony']",1.0,1.0
20135982,29.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,31.0,False,33.4562,-112.06316,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony']",2.0,2.0
20218715,9.5,28.0,30.0,19.0,3.0,8.0,0.0,2.0,2.5,8.5,15.0,8.5,38.0,False,33.3812,-112.0251,False,"['Kitchen', 'Wifi', 'Private pool – heated', 'TV', 'Washing machine', 'Dryer', 'Central air conditioning', 'Patio or balcony', 'Hair dryer', 'Fridge']",3.0,2.0
20218719,8.5,0.0,0.0,6.0,5.0,14.0,15.0,1.0,5.0,5.0,19.0,15.0,36.0,False,33.49997,-111.98788,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool', 'TV', 'Washing machine', 'Dryer', 'Central air conditioning', 'Patio or balcony', 'Exterior security cameras on property']",4.0,5.0
21261850,9.0,26.0,27.0,13.0,4.0,16.0,19.5,31.0,13.0,13.5,24.5,15.5,23.5,False,33.47303,-112.05185,True,"['City skyline view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available all year', 'HDTV with HBO Max, Fire TV, Hulu, Disney+, Netflix, Amazon Prime Video', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
21425543,15.0,22.0,28.5,22.5,20.0,18.5,12.5,15.5,10.5,20.5,17.0,5.0,49.5,False,33.30578,-112.03554,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available seasonally, open specific hours', 'Private hot tub', 'Pets allowed', '55 inch HDTV with Roku', 'Exterior security cameras on property', 'Carbon monoxide alarm']",4.0,2.5
21604531,10.0,26.0,30.5,28.0,29.5,23.5,26.0,28.0,18.5,28.0,23.0,13.5,36.0,False,33.49918,-111.99821,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours, saltwater', 'TV with premium cable, Roku', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning']",1.0,1.0
21637180,15.5,26.0,28.0,28.0,19.0,18.5,23.5,22.5,23.0,27.0,23.0,27.5,60.5,False,,,,,4.0,2.0
21951189,31.0,,31.0,13.0,29.0,15.0,15.5,15.5,15.0,15.5,15.0,15.5,50.0,False,33.29944,-112.05998,False,"['Kitchen', 'Free parking on premises', 'Pool', 'Hot tub', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",2.0,1.0
21964429,5.5,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,30.0,59.0,False,33.48912,-112.0496,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer']",2.0,2.0
22050325,13.0,16.0,29.0,11.0,0.0,1.0,0.0,0.0,0.0,4.0,4.5,5.5,59.5,False,33.4766,-112.07161,True,"['City skyline view', 'Kitchen', 'Wifi', 'Free street parking', 'Shared outdoor pool - saltwater', 'Shared hot tub', 'TV with Netflix', 'Washer', 'Dryer', 'Exterior security cameras on property']",1.0,1.0
22178722,15.0,29.0,27.0,20.0,0.0,29.0,0.5,28.0,19.0,21.0,20.0,6.5,39.0,False,33.4796,-112.0529,True,"['Courtyard view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours', 'Pets allowed', 'HDTV with Roku', 'Free washer – In unit', 'Free dryer – In unit']",1.0,1.0
22266754,4.0,29.0,30.5,28.5,13.0,21.0,12.5,17.0,16.0,18.0,15.5,16.0,69.0,False,33.59011,-112.12062,True,"['Lake view', 'Mountain view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free carport on premises – 1 space', 'Shared outdoor pool - heated, saltwater', 'Shared hot tub', 'Exterior security cameras on property']",3.0,2.0
22465249,17.0,29.0,15.0,0.0,4.5,0.0,0.0,0.0,1.5,8.0,13.0,15.5,35.0,False,33.49267,-112.00282,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool - pool toys', 'Pets allowed', 'TV with standard cable, Netflix', 'Washer', 'Dryer', 'Air conditioning']",4.0,2.5
22467553,8.5,25.0,29.0,19.5,13.0,4.5,6.5,8.5,7.5,15.5,17.0,7.0,30.0,False,33.4498,-112.05845,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '55 inch TV with Amazon Prime Video, HBO Max, Hulu, Netflix, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Carbon monoxide alarm']",1.0,1.0
22530279,7.0,28.0,29.5,25.5,15.0,19.5,23.0,21.5,10.0,28.5,29.0,20.5,39.0,False,,,,,4.0,2.5
22532213,7.5,29.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,78.5,False,33.49821,-112.00099,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with premium cable', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Private backyard – Fully fenced']",2.0,2.0
22900150,11.5,29.0,31.0,16.0,8.0,27.5,31.0,27.0,22.0,21.5,19.5,16.5,52.5,False,33.47192,-112.06347,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV with Netflix', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Exterior security cameras on property']",1.0,1.0
23086383,12.0,29.0,29.0,4.0,0.0,26.5,6.5,12.5,23.5,22.5,19.0,17.0,53.5,False,33.4802,-112.0525,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Pets allowed', '42 inch HDTV with Roku, standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning']",0.0,1.0
23433173,15.0,27.0,30.5,28.5,26.0,7.5,14.0,11.0,21.5,26.5,27.0,22.5,44.0,False,,,,,0.0,1.0
23478148,12.5,25.5,30.5,29.0,30.5,28.0,23.5,27.5,24.0,27.0,24.5,21.5,51.5,False,33.58932,-112.09427,True,"['City skyline view', 'Desert view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '50 inch HDTV with Fire TV', 'EV charger - level 2', 'AC - split type ductless system', 'Exterior security cameras on property']",2.0,1.0
23508473,12.0,22.5,29.5,27.0,26.0,24.0,25.0,21.5,23.5,25.0,24.0,17.5,40.0,False,33.45043,-112.05951,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",3.0,2.0
23686127,31.0,,,22.0,24.0,23.0,3.5,7.0,4.5,21.5,28.0,24.0,53.0,False,33.52027,-112.08468,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours, saltwater', 'Pets allowed', '55 inch HDTV with Amazon Prime Video, HBO Max, Apple TV, Hulu, Fire TV, Disney+, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'AC - split type ductless system', 'Bathtub']",1.0,1.0
23687092,15.5,23.5,28.0,16.0,8.5,7.0,12.0,20.0,21.0,18.0,27.0,24.0,48.0,False,33.47574,-112.05681,True,"['Courtyard view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '32 inch HDTV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",1.0,1.0
23687841,13.0,29.0,31.0,14.0,26.0,20.5,31.0,24.0,21.5,19.0,14.5,15.5,60.0,False,,,,,4.0,3.0
23872560,31.0,,28.0,19.0,7.5,22.5,31.0,31.0,30.0,31.0,30.0,31.0,49.5,False,33.50424,-112.01228,False,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV with Amazon Prime Video, HBO Max, Netflix, premium cable', 'Central air conditioning', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Luggage dropoff allowed']",1.0,1.0
24605021,0.0,0.0,0.0,27.5,15.5,5.0,0.0,17.0,9.5,12.5,21.0,10.0,42.0,False,,,,,6.0,3.0
24920540,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,26.0,False,,,,,2.0,2.0
24991489,13.5,28.0,31.0,28.5,23.5,23.5,23.5,29.0,12.0,15.5,27.0,27.0,36.5,False,33.4977,-112.06141,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free carport on premises – 1 space', 'Shared outdoor pool - available all year, open specific hours, pool toys', 'Shared hot tub', 'TV', 'Elevator', 'Carbon monoxide alarm']",2.0,2.0
25513693,9.0,29.0,22.0,6.0,9.0,0.0,2.0,16.0,15.0,8.5,18.5,16.5,51.5,False,33.50134,-112.00084,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Central air conditioning', 'Bathtub', 'Hair dryer']",0.0,1.0
25675009,12.0,22.0,26.0,19.0,8.0,7.0,3.5,2.5,8.5,2.5,17.0,19.5,51.0,False,,,,,3.0,2.5
25803742,4.0,27.0,27.0,12.0,4.0,3.0,2.5,2.5,3.5,1.5,2.5,9.5,52.5,False,33.59975,-112.11321,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Exterior security cameras on property']",3.0,2.0
25834866,6.5,20.0,27.0,27.0,18.0,8.0,15.0,4.0,17.0,16.0,19.0,12.0,64.0,False,33.50204,-112.01636,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Private hot tub', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",4.0,3.0
25842558,15.5,2.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,10.5,11.5,15.5,78.5,False,33.502,-112.01598,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private hot tub', 'TV', 'Air conditioning', 'Backyard', 'Hair dryer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",2.0,1.0
26081799,10.5,27.0,31.0,27.0,22.0,17.5,7.5,18.5,10.0,14.0,18.0,15.5,33.0,False,33.51331,-112.01216,True,"['City skyline view', 'Desert view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'Shared sauna', 'TV']",2.0,2.0
26531646,10.5,23.5,27.5,23.5,21.5,15.5,11.5,14.5,10.5,15.0,17.5,22.0,29.5,False,33.47368,-112.06043,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washing machine', 'Dryer', 'Air conditioning', 'Cot', 'Hair dryer']",1.0,1.0
26717777,9.5,25.0,26.5,14.0,18.5,9.0,15.5,20.5,12.5,16.5,21.5,14.5,80.5,False,33.47479,-112.06086,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Crib']",2.0,1.0
27029724,11.0,26.5,30.0,24.5,22.5,19.5,11.0,20.5,18.0,21.5,23.0,20.5,31.5,False,33.47381,-112.06258,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Air conditioning', 'Crib', 'Hair dryer', 'Breakfast']",1.0,1.0
27173446,9.5,29.0,27.5,23.5,23.5,13.0,1.5,14.0,21.5,15.5,6.0,25.0,60.5,False,33.47516,-112.05639,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",1.0,1.0
27229576,29.0,,,,,,,,,,19.0,31.0,24.0,False,,,,,3.0,2.0
27261814,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,14.5,17.5,False,,,,,2.0,2.0
27438293,12.5,27.5,29.5,29.0,29.0,22.5,24.0,23.5,29.0,28.5,23.5,26.5,66.5,False,33.49207,-112.06228,False,"['Kitchen', 'Wifi', 'Free street parking', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Hair dryer', 'Refrigerator']",2.0,1.0
27503447,0.0,0.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,28.0,42.0,False,33.61291,-111.98964,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours', 'Pets allowed', '100 inch HDTV with Amazon Prime Video, Netflix, Chromecast, HBO Max, Hulu', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",3.0,2.0
27674302,2.5,26.0,28.5,11.5,2.5,3.5,23.5,7.5,29.0,14.0,11.0,6.5,51.5,False,,,,,3.0,1.5
